name,search_term_01,search_term_02,search_term_03,search_term_04,search_term_05,search_term_06,search_term_07,search_term_08,search_term_09,search_term_10,search_term_11,search_term_12,No. of terms,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10,Name11,Name12,Name,per,round
Approximate Depth (ft.),12x20,shed,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Blind/Shade Width (In.),bali,102,in,louver,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,25
Adhesive backing,aspect,metal,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
3-Axis Adjustable Camera,wireless,camera,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,50
Amperage (amps),30,inch,under,cabinet,stainless,range,hood,(null),(null),(null),(null),(null),7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Air Tool Type,3,2-Jan,in,grinder,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),c9,opaque,lights,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Arbor included,2-Jan,inch,hole,saw,bit,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,flexible,gas,pipe,coupling,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,outdooor,carpet,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,cable,tie,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adhesion level,clear,epoxy,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
3-Axis Adjustable Camera,wireless,camera,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,50
Bullet01,black,privacy,film,for,windows,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Lightbulb Length,910,fluorescent,lights,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,air,ducting,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,construction,metal,support,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Agitator/Impeller Type,maytag,bravo,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,10,pack,leviton,5325-t,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Compartments,metal,pegs,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,red,cedar,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Method,cedar,wood,oil,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Color Temperature (K),hallogen,bulb,flood,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Batteries Included,makita,cordless,saw,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),vanities,glass,topped,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),stanley,powermax,6,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Color Temperature (K),25w,bulb,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Product Depth (in.),fur(null)ce,filters,electrostatic,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Accessory Type,carbon,activated,pre-filter,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),in,wall,timers,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),maso(null)ry,dril,bits,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Brand/Model Compatibility,cape,duct,damper,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),bedroom,sets,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),vanity,top,for,two,vessell,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),delta,faucet,handles,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,front,door,hardware,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),brushed,nickel,cabinet,pulls,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual Tree Height (ft.),6,2-Jan,foot,prelit,christmas,trees,(null),(null),(null),(null),(null),(null),6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,samsung,dishwasher,hose,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,800TVH,LIP,15,SMT,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Applicator/Tool Type,paint,roll,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,black,gas,ranges,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Board Form,electrical,hand,t,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),white,double,vanity,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,220v,receptacle,cover,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),bedroom,sets,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet02,delta,mandare,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bath Faucet Type,wall,faucets,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Box Type,deep,frezer,with,glass,cover,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Battery capacity (mAh),battery,for,wheelchair,35ah,(null),(null),(null),(null),(null),(null),(null),(null),4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,25
Adjustable Shelves,36,in.,2,door,base,cabinet,white,(null),(null),(null),(null),(null),7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,motor,pulley,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,briton,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application,4,to,1,cement,base,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Builders Hardware Product Type,sliding,windos,locks,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,repair,have,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Type,sodium,bulb,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,50
Application type,conduit,strap,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),DOWEL,SCREW,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,hummert,grass,seed,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,molding,sku,237-752,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,acrilic,white,paint,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),tier,utility,cart,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bulb Type Included,progress,lighting,94356211eb,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,freezer,door,gasket,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,continuos,curtain,rods,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Additional Characteristics,encore,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,Shower,volume,control,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Battery Life (hours),battery,lanterns,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,50,50
Actual Blind/Shade Width (In.),2,window,blinds,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,vinyl,base,cove,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,cleaning,brush,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,kubota,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,bathrooms,tile,shower,floor,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,25,25
Assembled Height (in.),battery,led,lights,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,33.33333333,34
Bullet01,pegboards,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Accessories Included,psint,gun,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),SECTIO(null)L,SOFA,COVERS,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,behr,paint,samples,and,(null)mes,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable,saww,horse,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Breathable,redwood,wall,paper,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,countertop,kits,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,marble,qwhite,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,12,awg,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,circular,stone,planters,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,security,door.,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),motion,patio,chairs,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Depth (ft.),best,barns,glenwood,door,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,ICE,MAKER,HOSE,BIBB,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
3-Axis Adjustable Camera,manual,home,security,system,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,penthouse,wall,decorations,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application type,1',pvc,pipe,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet02,glass,panel,retiner,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,dry,wall,patch,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Actual product thickness (in.),treated,2x10,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),gas,cylinder,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,cadet,3,insulated,in,bone,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bowl Below Counter Height (in.),farmhouse,kitchen,sinks,slate,color,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Approximate Tile Size,12,4x4,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembly Required,closetmaid,wire,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),whirlpool,gasnstove,self,cleaning,oven,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,backing,pad,for,sanding,disc,(null),(null),(null),(null),(null),(null),(null),5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,flexible,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Amperage (amps),appliances,appliances,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,schlage,brass,entry,pack,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Assembled Depth (in.),double,sterno,stove,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,kitchen,handle,adaptor,kit,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Shelves,shower,pole,caddy,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,parking,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Appliance Type,ge,countertop,microwave,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
A/C Cooling Rate (BTU/hr),portable,ac,with,heat,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Battery Power Type,9.6,bvolt,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Type,new,electric,water,heaters,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Adjustable Shelves,kitchen,cabinets,cog(null)c,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Application Use,tire,pumps,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,hampton,bay,window,planter,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Accessory Type,light,adapter,socket,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,masterbuilt,electric,smoker,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Bullet01,mirror,sliding,closet,doors,(null),(null),(null),(null),(null),(null),(null),(null),4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Animated,star,tree,topper,(null),(null),(null),(null),(null),(null),(null),(null),(null),3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
Attached shelf,mirror,squares,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
